Time,X,Y,Z,Vx,Vy,Vz,dVel_X,dVel_Y,dVel_Z,Alt(m)
0.1,-2898207.63,4027634.23,3994019.28,-0.51,0.71,0.71,-5.13,7.12386,7.13215,40.17
0.2,-2898207.76,4027634.41,3994019.45,-1.03,1.43,1.43,-5.13,7.13031,7.15602,40.45
0.3,-2898207.94,4027634.66,3994019.7,-1.54,2.14,2.14,-5.15,7.15218,7.15649,40.85
0.4,-2898208.17,4027634.98,3994020.03,-2.06,2.86,2.86,-5.16,7.17512,7.15524,41.36
0.5,-2898208.46,4027635.37,3994020.42,-2.57,3.58,3.58,-5.17,7.19137,7.16411,41.98
0.6,-2898208.79,4027635.84,3994020.89,-3.09,4.3,4.29,-5.18,7.20338,7.17944,42.72
0.7,-2898209.18,4027636.38,3994021.42,-3.61,5.02,5.01,-5.19,7.21475,7.1958,43.58
0.8,-2898209.62,4027636.99,3994022.03,-4.13,5.74,5.74,-5.2,7.22681,7.21113,44.54
0.9,-2898210.11,4027637.67,3994022.71,-4.65,6.47,6.46,-5.21,7.23952,7.22549,45.63
1,-2898210.65,4027638.43,3994023.47,-5.17,7.19,7.18,-5.22,7.25259,7.23932,46.83
1.1,-2898211.25,4027639.25,3994024.3,-5.7,7.92,7.91,-5.23,7.26583,7.2529,48.14
1.2,-2898211.9,4027640.15,3994025.2,-6.22,8.65,8.63,-5.24,7.27914,7.26639,49.57
1.3,-2898212.6,4027641.13,3994026.17,-6.75,9.37,9.36,-5.25,7.29249,7.27984,51.11
1.4,-2898213.35,4027642.18,3994027.21,-7.27,10.11,10.09,-5.26,7.30585,7.29327,52.77
1.5,-2898214.16,4027643.3,3994028.33,-7.8,10.84,10.82,-5.27,7.31923,7.30669,54.55
1.6,-2898215.02,4027644.49,3994029.52,-8.33,11.57,11.55,-5.28,7.33262,7.3201,56.44
1.7,-2898215.93,4027645.76,3994030.79,-8.85,12.31,12.29,-5.29,7.34602,7.33351,58.45
1.8,-2898216.89,4027647.1,3994032.13,-9.38,13.04,13.02,-5.3,7.35942,7.34692,60.58
1.9,-2898217.91,4027648.51,3994033.54,-9.91,13.78,13.76,-5.31,7.37283,7.36033,62.82
2,-2898218.98,4027650,3994035.03,-10.45,14.52,14.49,-5.31,7.38624,7.37374,65.18
2.1,-2898220.11,4027651.56,3994036.59,-10.98,15.26,15.23,-5.32,7.39966,7.38715,67.66
2.2,-2898221.28,4027653.2,3994038.22,-11.51,16,15.97,-5.33,7.41308,7.40056,70.26
2.3,-2898222.52,4027654.91,3994039.93,-12.05,16.74,16.72,-5.34,7.4265,7.41397,72.97
2.4,-2898223.8,4027656.7,3994041.71,-12.58,17.48,17.46,-5.35,7.43993,7.42739,75.8
2.5,-2898225.14,4027658.56,3994043.57,-13.12,18.23,18.2,-5.36,7.45335,7.4408,78.75
2.6,-2898226.53,4027660.49,3994045.5,-13.65,18.98,18.95,-5.37,7.46678,7.45422,81.82
2.7,-2898227.98,4027662.5,3994047.51,-14.19,19.72,19.69,-5.38,7.48022,7.46763,85.01
2.8,-2898229.48,4027664.59,3994049.59,-14.73,20.47,20.44,-5.39,7.49365,7.48105,88.31
2.9,-2898231.03,4027666.75,3994051.75,-15.27,21.22,21.19,-5.4,7.50708,7.49446,91.74
3,-2898232.64,4027668.98,3994053.98,-15.81,21.98,21.94,-5.41,7.52052,7.50788,95.28
3.1,-2898234.3,4027671.29,3994056.29,-16.36,22.73,22.69,-5.42,7.53395,7.52129,98.95
3.2,-2898236.02,4027673.68,3994058.67,-16.9,23.49,23.45,-5.43,7.54738,7.53471,102.73
3.3,-2898237.79,4027676.14,3994061.13,-17.44,24.24,24.2,-5.44,7.56082,7.54812,106.63
3.4,-2898239.62,4027678.68,3994063.66,-17.99,25,24.96,-5.45,7.57425,7.56154,110.66
3.5,-2898241.5,4027681.29,3994066.27,-18.53,25.76,25.72,-5.46,7.58768,7.57495,114.8
